,precision_over,recall_over,f1_score_over
ABC,0.2968400447427293,0.6817597944765574,0.4135982856029612
LGBM,0.32571499166100437,0.5644401627060587,0.41306646821511106
XGBC,0.3271750942913763,0.5478484264611432,0.40968581148689215
KN,0.184853856618708,0.47998287304645687,0.26691270573528975
MLP,0.25915147802113647,0.7244701348747592,0.3817474194822043
RF,0.3194840139284584,0.43213444658531364,0.36736736736736736
GB,0.3186639830277974,0.6270605865981589,0.42257889990982866
CAT,0.32806788511749346,0.5380004281738385,0.40759062525342626
