,precision_under,recall_under,f1_score_under
ABC,0.276757099793749,0.9336330550203382,0.4269525417921042
LGBM,0.2787950195841162,0.9371654891886105,0.4297459811019757
XGBC,0.28038897893030795,0.9259259259259259,0.43043391719745233
KN,0.1724913141222154,0.6324127595803897,0.27105269194595466
MLP,0.2846476901539897,0.13059302076643117,0.17904314646316408
RF,0.2794556566230813,0.8418968101049026,0.41962332604172226
GB,0.27539814148493474,0.9421965317919075,0.4262160133646466
CAT,0.2799767921609077,0.9297794904731321,0.43036218599811726
