,precision,recall,f1_score,precision_over,recall_over,f1_score_over,precision_under,recall_under,f1_score_under
ABC,0.6428571428571429,0.0009633911368015414,0.001923899102180419,0.2968400447427293,0.6817597944765574,0.4135982856029612,0.276757099793749,0.9336330550203382,0.4269525417921042
LGBM,0.1134020618556701,0.001177478056090773,0.0023307553766288803,0.32571499166100437,0.5644401627060587,0.41306646821511106,0.2787950195841162,0.9371654891886105,0.4297459811019757
XGBC,0.42250530785562634,0.02130164846927853,0.04055844288189137,0.3271750942913763,0.5478484264611432,0.40968581148689215,0.28038897893030795,0.9259259259259259,0.43043391719745233
KN,0.2209838585703305,0.061549989295654035,0.09628265237776289,0.184853856618708,0.47998287304645687,0.26691270573528975,0.1724913141222154,0.6324127595803897,0.27105269194595466
MLP,0.18320066532018534,0.9903660886319846,0.3092039302185683,0.25915147802113647,0.7244701348747592,0.3817474194822043,0.2846476901539897,0.13059302076643117,0.17904314646316408
RF,0.3328050713153724,0.1573538856775851,0.21367831964532302,0.3194840139284584,0.43213444658531364,0.36736736736736736,0.2794556566230813,0.8418968101049026,0.41962332604172226
GB,0.5384615384615384,0.00074930421751231,0.0014965259219668627,0.3186639830277974,0.6270605865981589,0.42257889990982866,0.27539814148493474,0.9421965317919075,0.4262160133646466
CAT,0.43789808917197454,0.02943695140226932,0.05516549648946841,0.32806788511749346,0.5380004281738385,0.40759062525342626,0.2799767921609077,0.9297794904731321,0.43036218599811726
