기온분석
[검색조건]
자료구분 : 년
자료형태 : 기본
지역/지점 : 세종
기간 : 2011~2022

년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)

	2019,239,,,
	2020,239,13.1,8.5,18.5
	2021,239,13.5,8.8,18.9
	2022,239,,,
	

